,DATE,MORTGAGE
0,2000-01-01,8.26
1,2000-04-01,8.32
2,2000-07-01,8.02
3,2000-10-01,7.62
4,2001-01-01,7.01
5,2001-04-01,7.13
6,2001-07-01,6.96
7,2001-10-01,6.77
8,2002-01-01,6.97
9,2002-04-01,6.81
10,2002-07-01,6.29
11,2002-10-01,6.08
12,2003-01-01,5.84
13,2003-04-01,5.51
14,2003-07-01,6.03
15,2003-10-01,5.92
16,2004-01-01,5.6
17,2004-04-01,6.11
18,2004-07-01,5.89
19,2004-10-01,5.74
20,2005-01-01,5.77
21,2005-04-01,5.71
22,2005-07-01,5.76
23,2005-10-01,6.23
24,2006-01-01,6.25
25,2006-04-01,6.6
26,2006-07-01,6.56
27,2006-10-01,6.24
28,2007-01-01,6.21
29,2007-04-01,6.36
30,2007-07-01,6.55
31,2007-10-01,6.22
32,2008-01-01,5.87
33,2008-04-01,6.09
34,2008-07-01,6.32
35,2008-10-01,5.84
36,2009-01-01,5.06
37,2009-04-01,5.01
38,2009-07-01,5.16
39,2009-10-01,4.92
40,2010-01-01,5.0
41,2010-04-01,4.92
42,2010-07-01,4.45
43,2010-10-01,4.44
44,2011-01-01,4.85
45,2011-04-01,4.65
46,2011-07-01,4.29
47,2011-10-01,4.0
48,2012-01-01,3.92
49,2012-04-01,3.79
50,2012-07-01,3.55
51,2012-10-01,3.36
52,2013-01-01,3.5
53,2013-04-01,3.67
54,2013-07-01,4.44
55,2013-10-01,4.29
56,2014-01-01,4.36
57,2014-04-01,4.23
58,2014-07-01,4.14
59,2014-10-01,3.96
60,2015-01-01,3.72
61,2015-04-01,3.82
62,2015-07-01,3.95
63,2015-10-01,3.9
64,2016-01-01,3.74
65,2016-04-01,3.59
66,2016-07-01,3.45
67,2016-10-01,3.84
68,2017-01-01,4.17
69,2017-04-01,3.98
70,2017-07-01,3.88
71,2017-10-01,3.92
72,2018-01-01,4.28
73,2018-04-01,4.54
74,2018-07-01,4.57
75,2018-10-01,4.78
76,2019-01-01,4.37
77,2019-04-01,4.01
78,2019-07-01,3.66
79,2019-10-01,3.7
80,2020-01-01,3.52
81,2020-04-01,3.24
82,2020-07-01,2.95
83,2020-10-01,2.76
