,DATE,UNEM_RATE
0,2000-01-01,4.03
1,2000-04-01,3.93
2,2000-07-01,4.0
3,2000-10-01,3.9
4,2001-01-01,4.23
5,2001-04-01,4.4
6,2001-07-01,4.83
7,2001-10-01,5.5
8,2002-01-01,5.7
9,2002-04-01,5.83
10,2002-07-01,5.73
11,2002-10-01,5.87
12,2003-01-01,5.87
13,2003-04-01,6.13
14,2003-07-01,6.13
15,2003-10-01,5.83
16,2004-01-01,5.7
17,2004-04-01,5.6
18,2004-07-01,5.43
19,2004-10-01,5.43
20,2005-01-01,5.3
21,2005-04-01,5.1
22,2005-07-01,4.97
23,2005-10-01,4.97
24,2006-01-01,4.73
25,2006-04-01,4.63
26,2006-07-01,4.63
27,2006-10-01,4.43
28,2007-01-01,4.5
29,2007-04-01,4.5
30,2007-07-01,4.67
31,2007-10-01,4.8
32,2008-01-01,5.0
33,2008-04-01,5.33
34,2008-07-01,6.0
35,2008-10-01,6.87
36,2009-01-01,8.27
37,2009-04-01,9.3
38,2009-07-01,9.63
39,2009-10-01,9.93
40,2010-01-01,9.83
41,2010-04-01,9.63
42,2010-07-01,9.47
43,2010-10-01,9.5
44,2011-01-01,9.03
45,2011-04-01,9.07
46,2011-07-01,9.0
47,2011-10-01,8.63
48,2012-01-01,8.27
49,2012-04-01,8.2
50,2012-07-01,8.03
51,2012-10-01,7.8
52,2013-01-01,7.73
53,2013-04-01,7.53
54,2013-07-01,7.23
55,2013-10-01,6.93
56,2014-01-01,6.67
57,2014-04-01,6.2
58,2014-07-01,6.07
59,2014-10-01,5.7
60,2015-01-01,5.53
61,2015-04-01,5.43
62,2015-07-01,5.1
63,2015-10-01,5.03
64,2016-01-01,4.9
65,2016-04-01,4.93
66,2016-07-01,4.9
67,2016-10-01,4.77
68,2017-01-01,4.57
69,2017-04-01,4.4
70,2017-07-01,4.3
71,2017-10-01,4.13
72,2018-01-01,4.03
73,2018-04-01,3.93
74,2018-07-01,3.77
75,2018-10-01,3.83
76,2019-01-01,3.87
77,2019-04-01,3.67
78,2019-07-01,3.6
79,2019-10-01,3.6
80,2020-01-01,3.8
81,2020-04-01,13.07
82,2020-07-01,8.8
83,2020-10-01,6.77
